schema_version,run_id,provider,model,provider_model,task_type,task_family,evidence_origin,sample_count,session_count,round_id,round_index,round_count,attempt_budget_k,intermediate_budget_k,success_count,success_at_3,success_at_5,attempts_to_success_at_3,attempts_to_success_at_5,scientific_wrong_count,protocol_failure_count,infrastructure_failure_count,adaptive_success_rate,feedback_mode,memory_mode,stopping_rule,run_manifest_path,adaptive_attempt_log_path,adaptive_summary_source_path,selected_manifest_path,claim_use
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Click_Order,Ordering,supplemented_category,10,1,round01,1,5,5,3,1,True,True,3,3,2,0,0,0.3333333333333333,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Click_Order,Ordering,supplemented_category,10,1,round02,2,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Click_Order,Ordering,supplemented_category,10,1,round03,3,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Click_Order,Ordering,supplemented_category,10,1,round04,4,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Click_Order,Ordering,supplemented_category,10,1,round05,5,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Patch_Select,Spatial Selection,supplemented_category,10,1,round01,1,5,5,3,1,True,True,3,3,2,0,0,0.3333333333333333,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Patch_Select,Spatial Selection,supplemented_category,10,1,round02,2,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Patch_Select,Spatial Selection,supplemented_category,10,1,round03,3,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Patch_Select,Spatial Selection,supplemented_category,10,1,round04,4,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Patch_Select,Spatial Selection,supplemented_category,10,1,round05,5,5,5,3,1,True,True,1,1,0,0,0,1.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Pick_Area,unknown,supplemented_category,30,1,round01,1,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Pick_Area,unknown,supplemented_category,30,1,round02,2,5,5,3,1,False,True,,5,4,0,0,0.2,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Pick_Area,unknown,supplemented_category,30,1,round03,3,5,5,3,1,True,True,1,1,0,0,0,1.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round03-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Pick_Area,unknown,supplemented_category,30,1,round04,4,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round04-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Pick_Area,unknown,supplemented_category,30,1,round05,5,5,5,3,1,True,True,1,1,0,0,0,1.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round05-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Place_Dot,unknown,supplemented_category,32,1,round01,1,5,5,3,0,False,False,,,5,0,0,0.0,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round01-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
cognition.revision.phase042.adaptive_summary.v1,phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium,openai,gpt-5_medium,openai/gpt-5_medium,Place_Dot,unknown,supplemented_category,32,1,round02,2,5,5,3,1,True,True,2,2,1,0,0,0.5,binary-pass-fail,explicit-policy-notes,first-success-or-budget,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/run_manifest.json,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_attempts.jsonl,/Users/ukun/Desktop/captcha/results/local_runs/phase04_2_adaptive_gpt5_medium_20260522-round02-openai-gpt-5-medium/adaptive_summary.json,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_caveated
