schema_version,run_id,provider,model,provider_model,task_type,task_family,evidence_origin,sample_count,attempt_count,success_count,scientific_wrong_count,protocol_failure_count,infrastructure_failure_count,pass_rate,run_manifest_path,attempt_log_path,summary_source_path,selected_manifest_path,claim_use
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,anthropic,claude-sonnet-4-5,anthropic/claude-sonnet-4-5,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,anthropic,claude-sonnet-4-5,anthropic/claude-sonnet-4-5,Relation_Match,Relational Matching,new_category,30,30,3,27,0,0,0.1,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,anthropic,claude-sonnet-4-5,anthropic/claude-sonnet-4-5,Symbol_Count,Counting,new_category,30,30,1,29,0,0,0.03333333333333333,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,gemini,gemini-2.5-flash,gemini/gemini-2.5-flash,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,gemini,gemini-2.5-flash,gemini/gemini-2.5-flash,Relation_Match,Relational Matching,new_category,30,30,2,28,0,0,0.06666666666666667,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,gemini,gemini-2.5-flash,gemini/gemini-2.5-flash,Symbol_Count,Counting,new_category,30,30,0,30,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,gemini,gemini-2.5-pro,gemini/gemini-2.5-pro,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,gemini,gemini-2.5-pro,gemini/gemini-2.5-pro,Relation_Match,Relational Matching,new_category,30,30,2,28,0,0,0.06666666666666667,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,gemini,gemini-2.5-pro,gemini/gemini-2.5-pro,Symbol_Count,Counting,new_category,30,30,0,30,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5,openai/gpt-5,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5,openai/gpt-5,Relation_Match,Relational Matching,new_category,30,30,0,30,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5,openai/gpt-5,Symbol_Count,Counting,new_category,30,30,1,29,0,0,0.03333333333333333,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5.1_medium,openai/gpt-5.1_medium,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5.1_medium,openai/gpt-5.1_medium,Relation_Match,Relational Matching,new_category,30,30,5,25,0,0,0.16666666666666666,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5.1_medium,openai/gpt-5.1_medium,Symbol_Count,Counting,new_category,30,30,3,27,0,0,0.1,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5.1_none,openai/gpt-5.1_none,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5.1_none,openai/gpt-5.1_none,Relation_Match,Relational Matching,new_category,30,30,2,28,0,0,0.06666666666666667,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openai,gpt-5.1_none,openai/gpt-5.1_none,Symbol_Count,Counting,new_category,30,30,1,29,0,0,0.03333333333333333,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openrouter,qwen_qwen3-vl-235b-a22b-instruct,openrouter/qwen_qwen3-vl-235b-a22b-instruct,Hole_Counting,Counting,new_category,20,20,0,20,0,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openrouter,qwen_qwen3-vl-235b-a22b-instruct,openrouter/qwen_qwen3-vl-235b-a22b-instruct,Relation_Match,Relational Matching,new_category,30,30,3,27,0,0,0.1,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
cognition.revision.phase042.static_summary.v1,exp5_static_final_evidence_20260522,openrouter,qwen_qwen3-vl-235b-a22b-instruct,openrouter/qwen_qwen3-vl-235b-a22b-instruct,Symbol_Count,Counting,new_category,30,30,0,29,1,0,0.0,,,,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,main_body_direct_evidence
